ID,smoking
54376,yes
9972,no
23703,no
4025,no
48760,yes
4260,no
18183,no
17076,no
23407,no
25127,no
37277,no
28244,no
22567,no
34072,yes
33784,no
25065,no
551,no
36532,yes
6267,yes
3937,no
14851,no
42680,no
9339,no
51568,no
54473,no
50034,no
8211,no
21454,yes
35853,no
10760,no
38083,yes
9627,no
27686,no
703,no
42235,no
53048,no
30931,yes
38683,no
48067,no
33966,no
8016,no
13094,no
32749,no
17968,yes
7894,yes
28435,no
33320,no
46110,yes
43766,yes
24955,no
46548,yes
8834,no
19999,yes
46954,no
6078,yes
52634,yes
53130,yes
361,no
4264,no
1320,yes
40816,yes
49291,no
499,no
27295,no
6451,no
31561,yes
38866,yes
27609,yes
19204,yes
30257,yes
40933,no
42101,no
51238,yes
20656,yes
10845,yes
19687,no
3510,yes
29925,no
11623,no
49122,no
32697,yes
26499,no
55474,no
279,no
46888,no
37362,no
10748,no
54706,yes
31701,yes
44464,yes
25078,no
11171,yes
42414,no
50972,yes
39570,yes
10213,yes
31987,no
41281,no
55395,yes
41707,no
19702,yes
12039,yes
8662,no
2612,no
21043,yes
21821,yes
18161,no
19316,yes
31550,no
1005,yes
43034,no
21755,no
29078,no
18653,yes
37370,no
8708,no
53445,no
4426,no
27199,no
6922,no
13475,yes
28143,no
24997,no
26397,no
13761,no
38262,no
11699,no
32476,no
55105,yes
3435,yes
26138,yes
11849,yes
20083,no
52089,yes
5391,no
31567,no
21595,yes
29346,no
30442,no
52007,yes
4566,no
11292,no
8178,no
25550,no
54569,yes
41179,no
13988,no
24643,no
20934,yes
1446,no
43988,yes
23812,yes
37474,yes
45027,no
49338,no
19227,no
36953,no
30087,no
52847,no
38792,no
51955,yes
24182,no
55288,yes
38595,no
32404,yes
16750,no
29256,no
53987,yes
41815,no
44324,yes
34401,no
29067,yes
33588,yes
31760,yes
28491,yes
31515,no
6615,no
13966,yes
49980,no
43542,no
49091,no
43252,yes
41704,no
45808,no
54637,yes
1926,yes
11676,no
45328,yes
4245,no
50919,yes
36454,no
17902,no
7530,yes
47807,yes
13693,yes
7281,yes
19941,yes
7446,no
12710,yes
39919,no
2723,no
2999,yes
23620,yes
12883,no
54377,no
35796,no
51054,yes
21144,yes
43772,no
25424,no
38406,no
39921,yes
51275,no
12934,yes
28718,yes
28177,no
22050,no
39613,no
15187,no
55497,yes
25650,no
26421,no
7781,no
20748,no
23586,no
41076,yes
12647,yes
48660,no
44332,yes
38915,no
40122,no
24770,yes
47508,yes
16427,yes
9769,yes
17855,yes
13204,no
29622,no
27757,no
31655,yes
35000,no
37508,no
2663,no
45613,no
22577,no
8644,no
48032,no
48722,no
52398,no
2082,yes
16966,yes
12916,yes
17633,no
21068,yes
36789,no
5649,yes
7171,yes
40432,no
34453,no
22700,yes
51547,no
15875,no
8632,no
9847,no
27890,yes
17315,yes
27252,no
114,yes
52852,no
23200,no
36279,yes
17182,yes
51621,no
35637,yes
50851,no
54975,no
33202,no
4685,no
30424,yes
488,yes
16152,no
13862,no
32536,no
28010,yes
45019,yes
48799,no
52546,no
19928,yes
33905,yes
8515,yes
16976,no
1154,no
5184,no
46665,no
54899,yes
12495,no
18767,no
4482,yes
38973,no
50453,no
37480,yes
2337,no
27097,yes
8736,no
41809,yes
14848,yes
20076,no
7128,yes
10426,no
6816,yes
29557,yes
32310,no
12464,no
19344,no
21916,no
41453,no
42540,yes
7649,yes
48666,no
35951,no
42044,no
1082,yes
52849,yes
1895,no
26573,yes
9927,yes
40712,no
35825,no
6368,no
53977,yes
5706,no
2350,no
3179,no
8123,no
30395,yes
51555,no
20127,no
46114,no
18656,yes
1311,yes
40562,no
36281,no
32433,yes
33828,yes
35564,no
8127,no
43723,no
13542,no
5001,yes
31479,no
29720,yes
16719,yes
27254,no
51651,no
34429,no
45891,yes
47661,yes
52309,no
3835,yes
94,yes
20405,no
4220,no
50297,yes
47163,yes
8595,no
38759,yes
23604,no
32278,yes
47302,yes
11828,no
34905,yes
20264,yes
49276,no
16611,no
11335,yes
50825,no
15770,yes
54162,no
45457,yes
50905,yes
14630,no
28670,no
31793,yes
35855,no
49021,no
859,no
52900,yes
42023,yes
9872,yes
33430,yes
49036,yes
41168,yes
28831,no
43220,no
49507,no
14451,no
43687,no
20973,no
37211,no
14317,no
12918,no
24309,no
28022,no
38715,no
15721,yes
44765,yes
13604,no
44173,no
26056,no
20648,yes
1439,no
23660,no
18479,no
36630,yes
1045,no
15664,yes
17369,no
15065,yes
50318,yes
37061,no
49321,no
23601,no
52743,no
10780,yes
25737,no
49564,no
21165,no
53110,no
45408,yes
20082,no
46841,yes
47435,no
1078,yes
45624,no
29734,no
38203,no
21611,no
21893,no
27994,no
40662,yes
49206,no
9712,yes
39522,no
23467,no
42364,no
11265,no
10135,no
30444,yes
29371,yes
16057,no
36104,no
35296,no
41537,yes
18151,no
37950,yes
501,no
48635,no
17591,yes
4838,yes
45073,no
15194,yes
16088,no
902,yes
33698,no
17517,no
12178,no
17068,no
30040,no
51319,no
22973,no
17931,yes
47505,no
53706,no
42560,yes
53938,no
24224,no
7384,no
16467,no
32713,yes
29411,no
22600,yes
5770,no
16891,no
15575,yes
1128,yes
19774,no
22381,yes
42139,no
41855,no
40641,no
4120,yes
39946,no
21983,no
6069,no
42077,no
30186,no
15553,no
46038,yes
11086,yes
13523,no
32110,no
24858,no
12011,yes
10883,yes
17342,no
8410,yes
14491,no
8647,yes
48958,no
20880,no
4443,yes
35697,no
20916,no
14704,no
24008,no
32918,yes
25365,no
39931,no
50391,no
46141,no
27016,no
11433,yes
27685,no
36512,yes
37630,no
27114,no
45665,yes
39699,no
25779,no
10955,no
23976,yes
20138,no
41297,no
31825,no
41469,no
53648,no
31733,no
31539,no
45259,no
53329,yes
12640,no
53687,yes
12611,yes
30522,yes
14147,yes
25910,no
10902,no
49979,no
44503,no
16562,no
10542,no
37523,no
1232,no
23512,yes
19877,yes
39661,no
4397,no
24031,yes
24967,no
12179,no
31061,no
49195,yes
32974,no
41597,yes
15772,yes
51224,yes
23404,yes
2905,yes
14012,no
2141,yes
55297,yes
8269,no
44228,yes
34767,yes
13538,no
15089,no
696,yes
43818,no
36292,yes
27266,no
43568,yes
37771,no
53534,yes
15590,yes
5549,yes
33813,yes
52216,no
22720,no
4475,no
45503,no
11271,yes
45123,yes
40858,yes
41368,yes
17805,no
14197,no
39124,no
5095,yes
51761,no
47476,no
38444,no
40316,yes
48055,no
54988,no
21476,no
33380,no
21648,no
3037,no
54341,no
22619,yes
28450,yes
36448,no
48514,yes
16807,yes
14869,yes
30293,no
50608,no
25566,no
32162,no
48174,yes
21460,yes
299,no
32752,no
7050,yes
34054,no
18483,yes
28437,no
43188,no
2040,no
6309,no
53760,no
26775,no
40474,no
10601,yes
21607,no
5159,no
34113,no
29972,no
25200,no
949,no
22245,no
9496,no
9473,yes
19845,no
44149,no
8174,no
5952,no
39486,no
2133,no
46941,no
46199,no
12858,no
42923,no
3154,no
46797,no
40695,no
851,yes
43137,no
25283,no
22342,yes
29640,no
31256,no
37977,no
55023,no
23360,no
38542,no
3884,yes
32604,yes
29736,no
6404,no
27145,yes
9924,yes
45303,no
37535,no
23960,no
3146,yes
15142,no
9896,no
616,no
52646,no
1579,yes
3370,yes
25609,yes
15863,yes
28812,no
20186,no
18847,no
51494,no
32666,yes
37516,no
53762,no
28845,yes
452,yes
51006,yes
41768,no
53875,yes
9503,no
26456,yes
25481,no
26814,no
34426,no
8586,no
36366,yes
52165,yes
42648,no
16301,no
48259,no
18806,no
42147,no
39808,no
55116,yes
45245,yes
38301,no
45008,no
10668,no
44232,no
14813,no
38150,no
24134,no
35954,no
7175,no
38345,no
18158,yes
6207,no
43213,yes
44799,no
38842,no
22907,no
8337,yes
2229,yes
51114,no
2693,yes
26700,no
40181,no
39394,yes
6770,no
41,yes
53408,no
45750,yes
38228,no
31909,no
8994,no
40078,no
13549,no
19770,no
3166,yes
47813,yes
53541,no
20275,no
5026,no
37260,no
29794,no
54425,yes
15151,no
20509,yes
31998,no
17115,no
21290,no
38089,yes
20143,yes
18890,yes
26075,no
8699,no
33620,no
12434,yes
43097,no
48595,yes
30196,yes
39831,yes
29169,yes
43451,yes
50247,yes
19736,no
9077,yes
48693,no
53090,yes
26155,no
20707,no
17008,no
36221,yes
43933,yes
19955,no
48099,no
51172,no
34461,no
18804,no
44717,no
33216,no
31510,yes
33658,no
12363,no
17266,yes
16972,yes
43664,yes
26898,no
28995,yes
35264,yes
4537,no
39230,yes
54361,yes
20494,no
6075,no
13785,yes
50770,yes
11296,yes
14066,no
21517,yes
27875,no
29486,no
50799,no
26238,no
26460,no
32082,no
9110,no
14665,no
24741,no
37668,no
11416,no
16934,no
18766,yes
15866,yes
21538,no
25468,yes
17953,no
1021,yes
48846,no
22313,no
41359,yes
30360,yes
25876,no
22539,no
2383,yes
34358,no
43052,yes
13680,no
4271,no
7952,no
13703,yes
2504,no
3172,yes
19945,no
34154,no
28029,no
38790,no
18633,no
14644,no
1502,yes
30136,no
16031,no
21901,no
25683,yes
29811,no
46139,no
18391,yes
25278,no
49458,yes
310,yes
22583,yes
4909,yes
22999,no
52683,no
39964,yes
33438,yes
34822,yes
43064,no
26777,yes
11205,no
49874,yes
3228,no
14025,no
22139,yes
19310,yes
33497,no
1333,no
216,no
17917,no
54730,yes
9124,no
7918,no
16047,no
27502,no
25037,no
6298,yes
19883,yes
17333,no
52816,yes
9868,yes
7177,yes
28762,no
19225,no
27832,no
8445,no
48009,no
7930,no
43607,yes
3724,no
14791,no
34833,yes
38856,no
55230,no
51254,no
9551,yes
7923,no
26295,no
14530,yes
11568,no
9267,yes
22384,no
2887,yes
49751,no
37394,no
39148,no
50657,yes
31098,no
38248,no
15715,yes
14885,yes
52833,yes
7958,yes
514,yes
5923,yes
52362,no
22543,no
51950,yes
22834,no
4588,yes
2100,yes
51506,no
14764,no
36404,no
23497,no
4133,no
11023,no
15777,no
26760,no
38509,no
2733,no
21126,yes
53031,no
27005,yes
28025,no
25956,no
15632,no
17833,no
18046,no
28226,yes
48691,no
51545,no
33282,no
21845,no
14045,no
53253,no
26888,no
4876,no
34186,no
53426,no
260,no
13226,no
11340,yes
23877,yes
36277,no
26408,no
10195,yes
14177,yes
42394,no
24623,no
10666,no
47750,yes
20883,no
22398,no
201,yes
17773,no
14604,no
2185,no
33220,no
4350,yes
32183,no
17051,yes
38545,no
50689,yes
44406,no
23707,yes
32696,yes
7357,yes
54836,no
7182,no
53489,no
14893,no
10318,no
13541,no
27415,no
21499,yes
55243,no
37631,yes
24177,yes
27952,yes
52575,yes
13268,yes
48506,yes
34578,no
63,no
28955,no
53463,no
37526,yes
53804,no
45707,no
32670,yes
19088,no
3147,no
39495,no
3816,no
30767,no
39301,yes
33454,no
55264,yes
7817,yes
2079,yes
36551,no
6431,no
48687,yes
55158,no
1695,yes
13334,no
8105,yes
26780,no
7168,no
43914,no
39498,no
49360,yes
7493,no
26683,yes
30893,no
51373,no
11825,yes
54300,yes
37142,no
5628,yes
44030,yes
91,no
48607,yes
54299,no
49498,yes
37790,no
931,no
15326,yes
27317,yes
24306,no
16587,yes
54715,no
28182,no
42198,no
50811,yes
19973,yes
48229,yes
30760,no
3105,no
38855,yes
54261,yes
32656,no
20868,yes
10098,no
49114,yes
3681,no
39458,no
44816,no
14583,yes
18411,no
107,no
28157,no
33122,yes
41517,no
20671,yes
27118,no
46450,no
30264,yes
31502,no
17410,yes
41005,yes
17874,yes
23478,yes
13198,yes
1903,no
31112,no
39109,no
1960,yes
14564,yes
16411,no
22902,no
34201,yes
27307,no
22445,yes
25259,no
37237,no
27329,no
14850,no
13213,no
41058,no
26379,yes
3626,no
16323,yes
23677,no
19952,no
9722,yes
32460,yes
31692,yes
2856,yes
33369,no
7283,no
910,no
3895,no
41462,yes
7851,no
18730,yes
13253,no
32244,no
12684,yes
45318,no
15660,yes
23287,no
26503,no
11061,no
36429,no
19441,no
43445,yes
13520,yes
5601,no
7098,no
34213,yes
21773,yes
16898,yes
36998,no
47042,yes
19841,yes
62,no
1959,yes
51700,no
18764,no
26696,no
6388,no
51561,no
33989,no
52898,yes
13922,no
1706,yes
38959,no
34168,no
21955,no
1862,yes
36033,no
1093,no
49,no
54485,no
36989,no
55242,no
20826,no
32800,no
9198,yes
14461,no
26570,yes
31892,no
15023,yes
32927,no
10474,no
49064,no
19198,no
55485,no
40934,no
21984,no
21847,no
37882,no
5838,yes
14563,no
39416,no
29697,yes
24912,no
15639,no
48758,yes
5257,no
953,no
10099,no
17966,yes
53006,no
1705,no
44058,no
51235,no
39882,yes
51747,yes
5588,yes
49205,yes
54148,yes
37935,yes
49997,yes
511,yes
21021,yes
30949,yes
19144,yes
32019,yes
25319,yes
32325,no
24673,no
26140,no
2927,no
26486,no
35176,yes
3093,yes
10075,no
16559,no
11484,no
45899,yes
10778,no
27604,no
48764,no
6123,no
34722,no
25039,yes
13511,no
27382,no
33635,yes
50410,no
28923,yes
15919,no
48134,no
53859,yes
31079,no
16859,no
35608,no
39140,no
7176,no
40889,yes
44530,no
11396,no
10464,no
39000,yes
25853,no
41819,no
2876,no
31762,no
44832,yes
5680,no
32200,yes
53610,no
27877,yes
6414,no
16278,no
8552,yes
10226,no
33295,no
48184,yes
11,yes
49219,no
35965,no
5691,no
26516,no
3020,no
39417,no
1646,no
29315,no
54969,yes
28527,no
54864,no
26326,yes
48570,no
41308,no
8961,yes
43871,no
17448,no
15446,no
3416,no
15128,no
30854,no
42941,no
6522,no
25593,no
286,no
28505,yes
29262,no
8629,no
25873,no
22966,no
30935,yes
33273,no
42980,yes
11117,no
25449,yes
47259,yes
28573,no
21484,no
40095,yes
32795,yes
10470,no
3424,yes
16694,yes
31814,no
45898,yes
36007,no
27840,yes
5142,yes
22276,no
49491,yes
48249,no
7620,no
4589,yes
7300,yes
31696,no
27704,no
16909,no
7222,no
46771,no
9838,no
28170,yes
36535,no
15477,yes
14910,no
47195,no
41448,yes
11309,yes
25712,no
45117,no
9779,no
10315,yes
18283,yes
26044,no
23471,yes
18939,no
50920,no
12343,no
49911,no
17615,yes
26094,no
13079,yes
25447,no
30323,no
53906,no
2304,no
9286,yes
13255,no
41272,no
53505,no
27527,no
13863,yes
24809,yes
27935,no
49949,no
41792,no
49668,no
44554,no
2281,no
54930,no
42378,no
44681,no
35279,yes
25927,no
4524,yes
18715,no
13360,no
22441,yes
53697,yes
22991,yes
22158,no
47422,no
28992,no
44002,no
13927,no
44237,yes
36723,no
4473,no
34836,no
44091,yes
3636,yes
45373,no
7699,no
15434,no
42914,yes
34630,yes
5936,no
46203,no
9740,yes
53112,no
19443,no
36255,no
3477,no
34980,no
14135,no
8969,yes
28202,yes
11493,no
38881,no
2673,yes
19287,yes
32981,no
43335,yes
4859,yes
36612,no
20491,no
4601,yes
35768,no
52282,no
41335,no
51893,no
19430,no
45290,no
55440,yes
38428,no
9738,yes
9111,no
4811,no
31291,no
38273,yes
4373,no
23010,yes
40917,no
29347,yes
52253,yes
36934,yes
47895,no
21395,yes
51219,yes
5276,yes
29903,yes
12055,no
17689,yes
41209,yes
22595,no
25147,no
12970,no
32456,yes
32532,no
3112,no
16767,yes
49454,no
3027,yes
31071,no
12678,yes
38311,no
19582,no
1897,no
31378,no
27558,yes
34310,no
22016,yes
50377,yes
22124,yes
7052,yes
33393,yes
45965,no
17568,no
29730,no
16263,no
44445,no
40862,no
53056,no
25402,no
3881,yes
3306,yes
3270,no
10184,no
41378,yes
53277,no
35906,no
15898,yes
23866,no
54874,no
47768,no
20550,no
9241,yes
35207,no
44807,no
19802,no
14701,yes
5367,no
15158,no
45108,yes
8047,no
19551,yes
2880,no
1544,no
53294,yes
19625,yes
37185,no
34406,no
35613,no
33894,no
40718,yes
1641,yes
52168,yes
7887,yes
24501,no
27506,no
34142,no
35478,yes
10243,no
30235,no
33407,yes
19192,no
8202,yes
30283,no
48519,no
55527,no
26963,yes
6589,no
11768,no
18975,no
10947,yes
21626,no
16997,yes
45843,yes
23241,no
22143,yes
40004,yes
14529,no
28800,no
41584,yes
17888,no
42530,yes
33811,no
28364,no
3145,no
53193,yes
54574,yes
15518,yes
12284,no
42584,no
40382,no
16991,no
24498,no
33104,no
18139,no
3048,no
50,no
49381,yes
52963,yes
38265,no
50806,yes
5535,no
15257,no
41848,no
24140,yes
55137,no
6040,no
55027,yes
14477,no
12815,yes
51593,no
44722,no
21746,no
24190,no
28998,yes
49954,yes
42247,yes
18435,yes
48925,yes
51748,no
19176,no
20475,no
7148,yes
23008,yes
13060,no
46380,yes
46697,no
21833,yes
40068,yes
21768,no
54248,yes
30877,no
40213,yes
19134,no
14304,no
13799,yes
27116,no
28872,no
45437,no
53923,yes
29314,yes
48372,no
37800,no
17887,no
37149,no
31912,yes
34956,no
20457,no
14814,yes
16588,yes
6856,no
46682,yes
21012,yes
34240,no
11932,no
21097,no
53557,no
24304,no
24270,no
55529,yes
2565,yes
48598,no
22390,no
548,yes
17402,no
53398,no
707,no
28367,no
30201,yes
53970,no
12860,no
11366,yes
53257,no
8111,yes
43514,yes
18324,yes
28078,no
33433,yes
45414,no
3180,yes
30018,no
36009,no
1883,yes
46956,yes
37988,no
21081,no
24879,yes
6829,yes
5579,no
16825,no
37913,yes
27066,no
16838,no
10887,yes
20633,no
43281,yes
48421,no
26035,no
1379,no
44481,yes
10314,no
54359,yes
21715,yes
48070,yes
13461,yes
31587,yes
37202,yes
42118,yes
3907,no
35090,no
43550,no
14253,no
51356,no
9559,yes
33691,no
26345,no
3142,no
18413,no
44223,no
6772,yes
48522,yes
25179,no
25484,no
5295,yes
37227,no
54433,yes
32261,yes
32231,no
50802,yes
53984,no
28058,yes
47229,no
45650,no
28558,yes
28259,yes
23886,yes
7915,no
21024,no
23106,no
7499,yes
21064,yes
5919,no
33269,yes
42901,no
23201,no
46150,no
35310,no
28220,no
53562,no
11881,no
41457,no
41598,yes
46539,no
8813,no
27126,no
2291,yes
826,yes
49109,yes
51020,yes
40791,no
53533,no
13802,no
35685,no
15910,no
44920,no
10263,no
12149,yes
10981,no
54452,no
12652,no
38055,yes
42445,yes
36896,yes
48654,no
44064,yes
30529,no
50331,no
51707,yes
40915,yes
39986,no
31309,no
7365,no
14907,no
35301,no
14938,no
30711,no
1334,no
34398,yes
28719,no
47245,no
9952,no
179,no
42503,no
42208,yes
47198,no
13801,no
28274,yes
2770,no
9805,yes
50459,no
38727,no
36883,yes
18366,yes
42569,yes
5314,yes
30133,no
14666,no
32178,yes
1624,no
17847,yes
46223,no
29499,yes
44523,no
42162,yes
25828,no
36006,yes
40779,yes
352,no
54336,yes
35150,yes
474,yes
39322,yes
45233,no
10952,no
37430,no
55680,no
36458,no
36261,yes
23674,no
40346,no
29391,no
51682,yes
43654,no
11632,yes
52346,yes
15014,yes
48244,no
727,no
43559,no
25675,no
14891,yes
27939,no
28258,no
15679,yes
16383,no
52017,yes
43021,yes
33218,yes
29122,no
45049,yes
3827,no
37888,no
30223,no
37629,yes
11686,no
26615,no
32683,no
36346,yes
18145,yes
31876,yes
35288,yes
40116,no
48834,no
49492,yes
29692,no
54908,no
39625,no
52894,yes
50164,no
11898,yes
4650,yes
6397,yes
31663,no
51015,no
49501,no
54324,yes
29240,no
