id,satisfaction
44584,neutral or dissatisfied
72664,neutral or dissatisfied
82066,satisfied
18924,neutral or dissatisfied
78336,satisfied
59518,neutral or dissatisfied
126527,neutral or dissatisfied
73941,neutral or dissatisfied
60801,neutral or dissatisfied
55515,neutral or dissatisfied
9761,satisfied
110375,neutral or dissatisfied
43680,satisfied
103488,neutral or dissatisfied
17517,neutral or dissatisfied
8803,neutral or dissatisfied
49243,neutral or dissatisfied
123042,neutral or dissatisfied
24431,neutral or dissatisfied
7780,neutral or dissatisfied
123055,satisfied
58972,satisfied
109391,neutral or dissatisfied
50057,satisfied
79480,neutral or dissatisfied
106813,satisfied
25331,neutral or dissatisfied
104398,satisfied
4430,satisfied
15765,satisfied
22546,satisfied
127814,neutral or dissatisfied
118643,satisfied
95948,satisfied
24732,satisfied
67100,satisfied
106925,neutral or dissatisfied
93213,neutral or dissatisfied
28850,neutral or dissatisfied
92471,satisfied
16816,satisfied
71587,satisfied
80197,neutral or dissatisfied
129492,satisfied
20602,satisfied
18075,neutral or dissatisfied
3734,neutral or dissatisfied
39530,neutral or dissatisfied
1041,neutral or dissatisfied
57541,neutral or dissatisfied
77028,satisfied
20835,satisfied
37671,neutral or dissatisfied
57234,neutral or dissatisfied
82430,satisfied
28110,satisfied
7354,neutral or dissatisfied
68706,neutral or dissatisfied
65898,satisfied
96380,satisfied
117,satisfied
95321,neutral or dissatisfied
125995,neutral or dissatisfied
15114,satisfied
78465,satisfied
41682,neutral or dissatisfied
121567,neutral or dissatisfied
121011,neutral or dissatisfied
122070,satisfied
109837,satisfied
115989,neutral or dissatisfied
7379,neutral or dissatisfied
41467,neutral or dissatisfied
498,satisfied
25314,neutral or dissatisfied
15687,satisfied
121830,neutral or dissatisfied
3252,satisfied
105545,neutral or dissatisfied
97345,neutral or dissatisfied
115518,neutral or dissatisfied
69886,satisfied
102821,neutral or dissatisfied
119024,neutral or dissatisfied
109016,satisfied
83434,neutral or dissatisfied
92725,satisfied
57617,satisfied
116081,neutral or dissatisfied
65536,neutral or dissatisfied
104837,satisfied
20666,neutral or dissatisfied
63583,satisfied
32877,neutral or dissatisfied
6684,satisfied
62069,neutral or dissatisfied
23561,neutral or dissatisfied
60884,neutral or dissatisfied
56454,neutral or dissatisfied
126013,satisfied
12593,neutral or dissatisfied
48533,satisfied
97867,neutral or dissatisfied
125414,neutral or dissatisfied
60365,neutral or dissatisfied
42650,neutral or dissatisfied
80726,satisfied
5925,neutral or dissatisfied
1735,neutral or dissatisfied
125476,neutral or dissatisfied
113516,satisfied
62536,satisfied
81332,satisfied
62426,satisfied
42421,neutral or dissatisfied
90185,neutral or dissatisfied
79049,satisfied
92760,satisfied
66475,satisfied
28939,neutral or dissatisfied
35537,neutral or dissatisfied
78403,satisfied
127434,neutral or dissatisfied
53251,neutral or dissatisfied
63508,satisfied
101990,neutral or dissatisfied
21717,neutral or dissatisfied
5288,neutral or dissatisfied
77763,neutral or dissatisfied
29239,neutral or dissatisfied
114081,neutral or dissatisfied
120511,neutral or dissatisfied
11406,satisfied
21784,satisfied
40475,satisfied
78300,neutral or dissatisfied
57916,neutral or dissatisfied
76990,neutral or dissatisfied
96275,neutral or dissatisfied
102074,satisfied
90031,satisfied
91628,neutral or dissatisfied
51110,neutral or dissatisfied
1237,neutral or dissatisfied
11611,neutral or dissatisfied
7258,neutral or dissatisfied
40706,satisfied
124707,neutral or dissatisfied
78675,neutral or dissatisfied
55398,neutral or dissatisfied
78931,neutral or dissatisfied
19467,satisfied
45676,satisfied
84265,satisfied
102679,neutral or dissatisfied
28242,neutral or dissatisfied
39618,neutral or dissatisfied
128228,neutral or dissatisfied
65646,neutral or dissatisfied
103264,satisfied
102085,satisfied
101844,neutral or dissatisfied
94669,satisfied
64763,satisfied
66116,neutral or dissatisfied
74676,neutral or dissatisfied
40521,satisfied
71971,neutral or dissatisfied
121842,neutral or dissatisfied
40933,satisfied
121723,neutral or dissatisfied
94075,satisfied
21295,neutral or dissatisfied
124539,neutral or dissatisfied
77513,satisfied
76775,neutral or dissatisfied
30022,neutral or dissatisfied
49124,satisfied
34657,satisfied
113259,satisfied
19958,neutral or dissatisfied
67935,neutral or dissatisfied
107781,satisfied
4355,neutral or dissatisfied
99418,satisfied
127488,neutral or dissatisfied
56725,neutral or dissatisfied
128042,neutral or dissatisfied
9367,neutral or dissatisfied
32482,neutral or dissatisfied
39876,neutral or dissatisfied
6113,satisfied
24311,neutral or dissatisfied
42612,satisfied
113118,neutral or dissatisfied
68556,satisfied
34084,neutral or dissatisfied
9299,satisfied
33888,satisfied
59181,satisfied
36938,satisfied
112936,neutral or dissatisfied
42575,neutral or dissatisfied
24296,neutral or dissatisfied
39276,neutral or dissatisfied
39057,neutral or dissatisfied
4518,neutral or dissatisfied
57899,satisfied
103347,satisfied
71554,satisfied
109768,neutral or dissatisfied
12425,neutral or dissatisfied
91967,neutral or dissatisfied
16221,satisfied
100110,satisfied
118919,neutral or dissatisfied
104620,satisfied
47970,neutral or dissatisfied
104076,neutral or dissatisfied
22759,satisfied
107125,satisfied
122986,satisfied
74816,neutral or dissatisfied
25139,neutral or dissatisfied
112023,satisfied
48776,neutral or dissatisfied
69727,neutral or dissatisfied
1969,neutral or dissatisfied
30962,neutral or dissatisfied
33366,neutral or dissatisfied
77137,neutral or dissatisfied
91609,neutral or dissatisfied
97167,satisfied
8060,satisfied
120330,satisfied
109212,satisfied
97011,neutral or dissatisfied
57630,satisfied
3328,satisfied
68412,satisfied
14881,neutral or dissatisfied
88826,neutral or dissatisfied
120186,satisfied
116043,neutral or dissatisfied
10601,neutral or dissatisfied
99463,satisfied
94838,satisfied
97554,neutral or dissatisfied
90703,neutral or dissatisfied
52998,satisfied
6715,neutral or dissatisfied
74203,satisfied
536,satisfied
14287,satisfied
73873,satisfied
63373,neutral or dissatisfied
107712,neutral or dissatisfied
15647,neutral or dissatisfied
46139,neutral or dissatisfied
55492,neutral or dissatisfied
88466,satisfied
123398,satisfied
34982,neutral or dissatisfied
12826,neutral or dissatisfied
63145,satisfied
90593,satisfied
11075,satisfied
73848,neutral or dissatisfied
102847,neutral or dissatisfied
114194,satisfied
8736,satisfied
118882,satisfied
32079,satisfied
93855,satisfied
53983,satisfied
52788,neutral or dissatisfied
127122,neutral or dissatisfied
61691,satisfied
21154,neutral or dissatisfied
27608,neutral or dissatisfied
113790,neutral or dissatisfied
8902,neutral or dissatisfied
12069,neutral or dissatisfied
101173,neutral or dissatisfied
91838,neutral or dissatisfied
39640,neutral or dissatisfied
40067,neutral or dissatisfied
10228,satisfied
14050,satisfied
116192,neutral or dissatisfied
101474,neutral or dissatisfied
97737,neutral or dissatisfied
38863,satisfied
27380,neutral or dissatisfied
124551,satisfied
100887,neutral or dissatisfied
97969,neutral or dissatisfied
37371,satisfied
124706,neutral or dissatisfied
128800,satisfied
4662,neutral or dissatisfied
121103,satisfied
111735,satisfied
96845,satisfied
35529,neutral or dissatisfied
119762,neutral or dissatisfied
66044,satisfied
93817,satisfied
88342,satisfied
84249,neutral or dissatisfied
96598,satisfied
91491,neutral or dissatisfied
116969,satisfied
61012,satisfied
118019,neutral or dissatisfied
22952,satisfied
69524,satisfied
22898,neutral or dissatisfied
96210,neutral or dissatisfied
225,neutral or dissatisfied
58609,neutral or dissatisfied
89365,neutral or dissatisfied
116775,neutral or dissatisfied
17460,satisfied
48484,neutral or dissatisfied
4604,satisfied
82941,neutral or dissatisfied
106012,neutral or dissatisfied
78516,neutral or dissatisfied
76678,neutral or dissatisfied
42143,satisfied
97739,neutral or dissatisfied
57931,neutral or dissatisfied
25209,satisfied
50074,neutral or dissatisfied
22841,satisfied
56365,neutral or dissatisfied
118648,neutral or dissatisfied
30656,neutral or dissatisfied
75845,satisfied
82696,satisfied
39926,satisfied
84086,neutral or dissatisfied
121119,satisfied
84208,satisfied
113984,neutral or dissatisfied
62365,neutral or dissatisfied
39769,neutral or dissatisfied
126164,satisfied
39436,neutral or dissatisfied
63953,neutral or dissatisfied
97339,satisfied
53144,neutral or dissatisfied
1596,neutral or dissatisfied
121692,satisfied
121918,neutral or dissatisfied
16849,satisfied
12874,satisfied
34309,neutral or dissatisfied
107841,neutral or dissatisfied
41703,neutral or dissatisfied
75708,satisfied
104120,satisfied
60733,neutral or dissatisfied
68950,satisfied
45371,neutral or dissatisfied
129831,neutral or dissatisfied
113124,satisfied
47204,neutral or dissatisfied
93359,neutral or dissatisfied
51098,neutral or dissatisfied
107179,satisfied
1331,satisfied
86015,neutral or dissatisfied
123881,satisfied
36131,neutral or dissatisfied
117151,neutral or dissatisfied
21477,neutral or dissatisfied
58566,neutral or dissatisfied
45115,neutral or dissatisfied
55343,neutral or dissatisfied
128670,satisfied
78844,neutral or dissatisfied
77010,satisfied
79229,satisfied
48511,satisfied
123732,neutral or dissatisfied
52405,neutral or dissatisfied
39115,neutral or dissatisfied
61670,neutral or dissatisfied
86640,neutral or dissatisfied
107423,satisfied
99085,neutral or dissatisfied
33785,neutral or dissatisfied
67072,neutral or dissatisfied
118106,neutral or dissatisfied
58492,satisfied
42707,satisfied
33286,neutral or dissatisfied
7831,neutral or dissatisfied
21089,neutral or dissatisfied
28216,satisfied
1855,neutral or dissatisfied
92290,satisfied
39330,neutral or dissatisfied
70636,neutral or dissatisfied
15161,neutral or dissatisfied
55300,satisfied
57809,neutral or dissatisfied
20364,neutral or dissatisfied
31592,neutral or dissatisfied
111596,neutral or dissatisfied
22954,neutral or dissatisfied
126511,satisfied
29872,satisfied
98561,neutral or dissatisfied
114680,satisfied
42076,satisfied
99488,neutral or dissatisfied
33693,neutral or dissatisfied
43492,neutral or dissatisfied
32934,neutral or dissatisfied
119159,satisfied
95913,neutral or dissatisfied
56125,satisfied
65387,neutral or dissatisfied
75413,neutral or dissatisfied
115813,satisfied
71129,neutral or dissatisfied
100030,neutral or dissatisfied
119978,neutral or dissatisfied
47907,neutral or dissatisfied
105725,neutral or dissatisfied
106401,neutral or dissatisfied
34548,satisfied
60621,satisfied
83218,neutral or dissatisfied
101025,neutral or dissatisfied
111352,neutral or dissatisfied
103324,satisfied
66385,neutral or dissatisfied
35824,neutral or dissatisfied
19245,satisfied
85991,neutral or dissatisfied
114957,neutral or dissatisfied
111129,satisfied
31042,neutral or dissatisfied
61509,neutral or dissatisfied
62323,satisfied
64609,satisfied
22783,neutral or dissatisfied
65185,neutral or dissatisfied
57735,neutral or dissatisfied
66132,neutral or dissatisfied
34459,neutral or dissatisfied
44265,neutral or dissatisfied
43672,neutral or dissatisfied
110500,satisfied
39868,neutral or dissatisfied
19350,satisfied
87945,neutral or dissatisfied
90502,satisfied
65019,neutral or dissatisfied
49220,satisfied
61799,neutral or dissatisfied
10456,satisfied
55551,neutral or dissatisfied
88890,neutral or dissatisfied
58436,neutral or dissatisfied
78042,neutral or dissatisfied
21808,neutral or dissatisfied
32437,neutral or dissatisfied
35124,satisfied
96585,satisfied
58124,neutral or dissatisfied
42617,satisfied
48051,neutral or dissatisfied
23989,satisfied
100544,satisfied
65592,neutral or dissatisfied
13482,neutral or dissatisfied
62476,satisfied
81775,satisfied
13678,satisfied
1210,satisfied
83724,satisfied
53760,satisfied
107233,neutral or dissatisfied
41114,neutral or dissatisfied
15371,neutral or dissatisfied
41577,neutral or dissatisfied
72129,neutral or dissatisfied
50092,neutral or dissatisfied
77271,neutral or dissatisfied
99173,neutral or dissatisfied
120970,satisfied
23246,satisfied
47800,satisfied
26695,neutral or dissatisfied
113583,neutral or dissatisfied
100045,neutral or dissatisfied
10810,neutral or dissatisfied
109301,satisfied
71358,satisfied
10423,satisfied
76020,neutral or dissatisfied
58101,satisfied
72703,satisfied
58008,neutral or dissatisfied
121693,neutral or dissatisfied
83400,satisfied
83868,neutral or dissatisfied
6537,satisfied
93220,satisfied
77945,satisfied
2176,neutral or dissatisfied
49039,neutral or dissatisfied
102127,neutral or dissatisfied
90867,neutral or dissatisfied
37086,neutral or dissatisfied
15818,neutral or dissatisfied
13504,satisfied
62266,neutral or dissatisfied
115773,neutral or dissatisfied
48040,neutral or dissatisfied
67530,satisfied
84065,neutral or dissatisfied
121018,neutral or dissatisfied
5776,satisfied
74025,satisfied
9032,neutral or dissatisfied
10076,neutral or dissatisfied
95990,satisfied
65313,neutral or dissatisfied
89191,neutral or dissatisfied
49490,neutral or dissatisfied
126952,neutral or dissatisfied
99878,satisfied
90613,satisfied
4277,satisfied
81796,neutral or dissatisfied
93841,neutral or dissatisfied
39484,satisfied
45032,neutral or dissatisfied
44430,neutral or dissatisfied
106711,satisfied
30303,neutral or dissatisfied
8498,neutral or dissatisfied
105112,satisfied
32516,satisfied
78604,satisfied
40968,neutral or dissatisfied
82880,neutral or dissatisfied
73431,neutral or dissatisfied
76504,satisfied
71950,satisfied
43143,neutral or dissatisfied
45211,neutral or dissatisfied
2881,neutral or dissatisfied
33354,satisfied
96228,satisfied
84237,satisfied
98058,satisfied
73775,satisfied
106453,satisfied
96828,neutral or dissatisfied
14783,neutral or dissatisfied
56745,neutral or dissatisfied
100364,neutral or dissatisfied
73790,satisfied
31969,neutral or dissatisfied
16624,neutral or dissatisfied
11213,neutral or dissatisfied
91611,satisfied
80747,neutral or dissatisfied
31699,satisfied
90195,neutral or dissatisfied
16133,neutral or dissatisfied
115046,satisfied
23782,satisfied
45946,neutral or dissatisfied
110713,neutral or dissatisfied
100716,neutral or dissatisfied
60383,satisfied
122940,satisfied
50276,neutral or dissatisfied
40304,neutral or dissatisfied
124865,neutral or dissatisfied
45974,satisfied
105300,neutral or dissatisfied
65046,neutral or dissatisfied
44828,neutral or dissatisfied
30337,neutral or dissatisfied
9463,neutral or dissatisfied
107459,neutral or dissatisfied
99254,satisfied
5523,satisfied
41716,neutral or dissatisfied
21663,satisfied
105969,satisfied
89222,neutral or dissatisfied
15474,neutral or dissatisfied
105091,satisfied
53458,satisfied
26321,neutral or dissatisfied
43421,neutral or dissatisfied
19480,neutral or dissatisfied
119280,satisfied
9493,neutral or dissatisfied
50543,neutral or dissatisfied
100611,satisfied
89323,satisfied
109098,neutral or dissatisfied
122949,satisfied
2098,neutral or dissatisfied
28910,satisfied
54324,satisfied
123570,satisfied
91268,neutral or dissatisfied
76943,satisfied
36797,neutral or dissatisfied
26099,neutral or dissatisfied
115790,neutral or dissatisfied
56934,neutral or dissatisfied
53202,satisfied
114497,satisfied
111718,neutral or dissatisfied
57212,neutral or dissatisfied
31222,neutral or dissatisfied
33801,satisfied
34460,satisfied
39180,neutral or dissatisfied
96932,neutral or dissatisfied
78115,satisfied
17871,neutral or dissatisfied
106750,satisfied
79008,neutral or dissatisfied
45347,neutral or dissatisfied
10873,neutral or dissatisfied
19527,neutral or dissatisfied
2968,satisfied
41298,neutral or dissatisfied
122507,satisfied
79374,satisfied
32662,neutral or dissatisfied
6154,neutral or dissatisfied
106023,satisfied
50051,neutral or dissatisfied
52701,satisfied
89328,satisfied
64790,neutral or dissatisfied
122527,satisfied
47903,satisfied
35941,neutral or dissatisfied
93828,neutral or dissatisfied
47764,neutral or dissatisfied
108919,neutral or dissatisfied
3660,neutral or dissatisfied
20756,neutral or dissatisfied
62438,satisfied
20089,satisfied
20815,neutral or dissatisfied
119253,satisfied
10918,satisfied
100527,neutral or dissatisfied
43369,neutral or dissatisfied
13139,neutral or dissatisfied
19078,neutral or dissatisfied
39923,satisfied
45469,satisfied
110431,neutral or dissatisfied
125416,neutral or dissatisfied
17203,neutral or dissatisfied
52509,neutral or dissatisfied
118894,satisfied
93176,neutral or dissatisfied
85120,satisfied
7933,satisfied
124723,neutral or dissatisfied
53332,neutral or dissatisfied
31318,neutral or dissatisfied
65074,neutral or dissatisfied
124321,neutral or dissatisfied
107471,satisfied
99739,neutral or dissatisfied
119981,neutral or dissatisfied
72794,satisfied
96357,neutral or dissatisfied
21733,satisfied
61967,neutral or dissatisfied
48185,satisfied
86933,neutral or dissatisfied
36932,neutral or dissatisfied
78143,satisfied
13021,satisfied
105504,neutral or dissatisfied
68503,neutral or dissatisfied
63195,neutral or dissatisfied
103722,neutral or dissatisfied
37018,neutral or dissatisfied
49703,neutral or dissatisfied
31684,neutral or dissatisfied
28571,satisfied
67549,neutral or dissatisfied
109416,satisfied
96463,satisfied
98556,neutral or dissatisfied
119646,satisfied
57353,neutral or dissatisfied
105257,neutral or dissatisfied
42767,satisfied
117223,neutral or dissatisfied
46827,satisfied
122942,neutral or dissatisfied
86144,satisfied
107439,neutral or dissatisfied
54389,satisfied
67882,neutral or dissatisfied
110204,neutral or dissatisfied
36732,satisfied
94260,satisfied
25976,neutral or dissatisfied
4753,satisfied
123967,satisfied
126036,satisfied
122406,neutral or dissatisfied
102047,neutral or dissatisfied
22545,satisfied
29466,neutral or dissatisfied
43512,neutral or dissatisfied
63178,neutral or dissatisfied
35638,neutral or dissatisfied
117233,neutral or dissatisfied
100348,neutral or dissatisfied
84024,satisfied
82490,neutral or dissatisfied
57705,neutral or dissatisfied
129391,satisfied
64577,neutral or dissatisfied
11759,satisfied
95510,neutral or dissatisfied
95957,neutral or dissatisfied
43361,neutral or dissatisfied
7868,satisfied
93915,satisfied
99854,neutral or dissatisfied
22725,neutral or dissatisfied
44405,neutral or dissatisfied
29492,satisfied
112372,neutral or dissatisfied
59723,neutral or dissatisfied
35187,neutral or dissatisfied
36181,satisfied
117160,neutral or dissatisfied
102525,neutral or dissatisfied
55100,satisfied
14255,neutral or dissatisfied
72475,neutral or dissatisfied
60765,neutral or dissatisfied
82592,neutral or dissatisfied
46661,neutral or dissatisfied
55851,neutral or dissatisfied
17652,satisfied
61705,satisfied
36501,satisfied
116202,neutral or dissatisfied
66778,neutral or dissatisfied
60643,satisfied
1322,satisfied
31574,satisfied
21872,satisfied
113223,neutral or dissatisfied
106495,satisfied
83260,satisfied
37391,satisfied
71079,neutral or dissatisfied
98337,satisfied
23716,neutral or dissatisfied
8735,satisfied
11666,satisfied
113186,satisfied
18714,neutral or dissatisfied
83204,neutral or dissatisfied
452,satisfied
17996,satisfied
98896,satisfied
63321,neutral or dissatisfied
37707,neutral or dissatisfied
42624,satisfied
75452,satisfied
3490,neutral or dissatisfied
47431,neutral or dissatisfied
9677,neutral or dissatisfied
14947,satisfied
47845,satisfied
75841,satisfied
57450,satisfied
128246,neutral or dissatisfied
88340,satisfied
3231,satisfied
27754,satisfied
7239,satisfied
119624,neutral or dissatisfied
17719,neutral or dissatisfied
97180,neutral or dissatisfied
127174,neutral or dissatisfied
18846,neutral or dissatisfied
115798,neutral or dissatisfied
70168,satisfied
64194,satisfied
110207,neutral or dissatisfied
107500,satisfied
42414,neutral or dissatisfied
15867,satisfied
125081,neutral or dissatisfied
104543,neutral or dissatisfied
117883,satisfied
128464,satisfied
95635,neutral or dissatisfied
56618,satisfied
105098,satisfied
79464,satisfied
108827,satisfied
80784,satisfied
70195,neutral or dissatisfied
5102,neutral or dissatisfied
28761,neutral or dissatisfied
54810,satisfied
46871,satisfied
68952,neutral or dissatisfied
46840,satisfied
124396,neutral or dissatisfied
66946,satisfied
129790,neutral or dissatisfied
78989,satisfied
84062,satisfied
121354,neutral or dissatisfied
76093,neutral or dissatisfied
42573,neutral or dissatisfied
11661,neutral or dissatisfied
28249,neutral or dissatisfied
96110,neutral or dissatisfied
20304,satisfied
111624,neutral or dissatisfied
128494,neutral or dissatisfied
92522,neutral or dissatisfied
78476,satisfied
53335,neutral or dissatisfied
69808,satisfied
9042,satisfied
129562,neutral or dissatisfied
538,satisfied
123212,neutral or dissatisfied
61846,neutral or dissatisfied
55689,neutral or dissatisfied
113337,satisfied
126086,neutral or dissatisfied
2860,neutral or dissatisfied
98447,neutral or dissatisfied
61010,satisfied
109034,satisfied
94189,satisfied
72780,satisfied
77118,neutral or dissatisfied
119955,satisfied
61432,satisfied
3480,satisfied
16643,satisfied
109224,neutral or dissatisfied
73506,satisfied
27718,neutral or dissatisfied
58575,neutral or dissatisfied
89534,satisfied
127239,neutral or dissatisfied
58203,neutral or dissatisfied
78826,neutral or dissatisfied
60934,satisfied
128141,neutral or dissatisfied
97803,satisfied
73819,satisfied
39108,satisfied
7027,satisfied
46397,neutral or dissatisfied
23211,neutral or dissatisfied
68807,neutral or dissatisfied
94955,satisfied
63912,neutral or dissatisfied
1054,satisfied
113384,satisfied
109830,satisfied
85124,satisfied
120231,neutral or dissatisfied
6353,neutral or dissatisfied
111134,satisfied
81295,neutral or dissatisfied
46123,satisfied
58108,neutral or dissatisfied
129350,neutral or dissatisfied
11820,satisfied
112306,satisfied
76681,neutral or dissatisfied
118281,satisfied
14300,neutral or dissatisfied
77456,satisfied
61475,neutral or dissatisfied
88198,neutral or dissatisfied
10518,satisfied
69096,satisfied
111605,satisfied
128769,neutral or dissatisfied
13254,neutral or dissatisfied
125532,satisfied
64351,neutral or dissatisfied
38190,neutral or dissatisfied
117786,satisfied
25440,neutral or dissatisfied
122997,satisfied
120582,neutral or dissatisfied
87382,neutral or dissatisfied
52019,neutral or dissatisfied
112869,satisfied
41558,neutral or dissatisfied
56488,neutral or dissatisfied
125298,satisfied
85360,neutral or dissatisfied
84942,satisfied
77923,neutral or dissatisfied
88733,neutral or dissatisfied
312,satisfied
106815,neutral or dissatisfied
90499,satisfied
13643,neutral or dissatisfied
2382,satisfied
22646,neutral or dissatisfied
32489,neutral or dissatisfied
82944,satisfied
17069,satisfied
18770,neutral or dissatisfied
96165,satisfied
27518,neutral or dissatisfied
14817,neutral or dissatisfied
77770,neutral or dissatisfied
62542,neutral or dissatisfied
55724,satisfied
99127,neutral or dissatisfied
19727,neutral or dissatisfied
52973,neutral or dissatisfied
103583,neutral or dissatisfied
75157,neutral or dissatisfied
64639,satisfied
63298,neutral or dissatisfied
8392,satisfied
20494,satisfied
37777,satisfied
19609,satisfied
121765,satisfied
27893,neutral or dissatisfied
104273,satisfied
4746,neutral or dissatisfied
57400,neutral or dissatisfied
84997,satisfied
97541,neutral or dissatisfied
125942,neutral or dissatisfied
111608,satisfied
3666,satisfied
3541,satisfied
98975,neutral or dissatisfied
13367,neutral or dissatisfied
41688,neutral or dissatisfied
109535,neutral or dissatisfied
126413,satisfied
80763,neutral or dissatisfied
92313,satisfied
99315,satisfied
72555,satisfied
7734,neutral or dissatisfied
112159,neutral or dissatisfied
124227,satisfied
117163,neutral or dissatisfied
8182,satisfied
19686,satisfied
24348,neutral or dissatisfied
3464,neutral or dissatisfied
104610,neutral or dissatisfied
49926,satisfied
54241,neutral or dissatisfied
26982,neutral or dissatisfied
95356,neutral or dissatisfied
9917,neutral or dissatisfied
862,satisfied
15746,neutral or dissatisfied
33935,neutral or dissatisfied
29575,neutral or dissatisfied
117870,neutral or dissatisfied
77333,satisfied
32862,neutral or dissatisfied
13415,satisfied
44916,neutral or dissatisfied
94261,satisfied
18367,neutral or dissatisfied
47263,neutral or dissatisfied
41378,neutral or dissatisfied
95601,satisfied
4216,neutral or dissatisfied
68622,satisfied
64587,satisfied
25220,neutral or dissatisfied
9763,satisfied
41113,neutral or dissatisfied
99270,neutral or dissatisfied
89156,neutral or dissatisfied
13885,neutral or dissatisfied
122675,satisfied
31798,neutral or dissatisfied
92281,neutral or dissatisfied
112304,neutral or dissatisfied
61869,satisfied
50229,neutral or dissatisfied
80224,neutral or dissatisfied
1861,satisfied
113074,satisfied
6044,satisfied
36168,neutral or dissatisfied
126320,neutral or dissatisfied
92748,neutral or dissatisfied
47595,satisfied
96200,neutral or dissatisfied
84351,satisfied
65069,neutral or dissatisfied
57091,neutral or dissatisfied
32216,satisfied
31780,neutral or dissatisfied
57538,satisfied
68828,satisfied
33084,neutral or dissatisfied
9055,satisfied
